prevword,nextword,prevtag,nexttag,class,one,two,three,four,five,six,seven,eight,nine,ten
NA,куранты,NA,noun,8,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,2,0,0,0,0,0,0,0,0,0,0

продолжаться,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

это,с,neg,prep,1,0,0,0,0,0,0,0,0,0,0

уханье,посуда,noun,noun,6,0,0,0,0,0,0,0,0,0,0

а,по,conj,prep,2,0,0,0,0,0,0,0,0,0,0

сквозь,зыбь,adv,noun,8,0,0,0,0,0,0,0,0,0,0

первый,Костромин,adj,name,1,0,0,0,0,0,0,0,0,0,0

сегодня,отступление,noun,noun,1,0,0,0,0,0,0,0,0,0,0

идет,покуда,verb,adv,1,0,0,0,0,0,0,0,0,0,0

же,он,neg,pron,1,0,0,0,0,0,0,0,0,0,0

легкий,а,adj,conj,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

этот,с,pron,prep,1,0,0,0,0,0,0,0,0,0,0

братоубийственный,против,adj,prep,1,0,0,0,0,0,0,0,0,0,0

NA,близиться,NA,verb,1,0,0,0,0,0,0,0,0,0,0

в,по,prep,prep,1,0,0,0,0,0,0,0,0,0,0

на,NA,prep,NA,2,0,0,0,0,0,0,0,0,0,0

какой,с,adj,prep,1,0,0,0,0,0,0,0,0,0,0

в,черный,prep,adj,1,0,0,0,0,0,0,0,0,0,0

NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0

минута,часы,noun,noun,8,0,0,0,0,0,0,0,0,0,0

в,Катя,prep,name,2,0,0,0,0,0,0,0,0,0,0

в,магфиозный,prep,adj,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,2,0,0,0,0,0,0,0,0,0,0

торжественный,куранты,adj,noun,8,0,0,0,0,0,0,0,0,0,0

в,и,prep,conj,2,0,0,0,0,0,0,0,0,0,0

петушиный,и,adj,conj,2,0,0,0,0,0,0,0,0,0,0

в,чтобы,prep,conj,2,0,0,0,0,0,0,0,0,0,0

слушать,угадывая,verb,participle,1,0,0,0,0,0,0,0,0,0,0

морской,NA,adj,NA,1,1,0,0,0,0,0,0,0,0,0

в,оставить,prep,verb,1,0,0,0,0,0,0,0,0,0,0

идти,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

в,увлекающий,prep,participle,1,0,0,0,0,0,0,0,0,0,0

в,свой,prep,adj,1,0,0,0,0,0,0,0,0,0,0

они,чем-то,pron,adv,2,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

жестокий,где,adj,adv,1,0,0,0,0,0,0,0,0,0,0

повести,против,verb,prep,1,0,0,0,0,0,0,0,0,0,0

прощание,продолжаться,noun,verb,,0,0,0,0,0,0,0,0,0,0

на,уходит,prep,verb,1,0,0,0,0,0,0,0,0,0,0

в,сам,prep,pron,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,2,0,0,0,0,0,0,0,0,0,0

в,солдат,prep,noun,1,0,0,0,0,0,0,0,0,0,0

учебный,NA,adj,NA,2,0,0,0,0,0,0,0,0,0,0

NA,в,NA,prep,1,0,0,0,0,0,0,0,0,0,0

смертельный,NA,adj,NA,1,1,0,0,0,0,0,0,0,0,0

в,в,prep,prep,1,0,0,0,0,0,0,0,0,0,0

NA,с,NA,prep,1,0,0,0,0,0,0,0,0,0,0

в,друг,prep,noun,1,0,0,0,0,0,0,0,0,0,0

вести,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

NA,NA,NA,NA,,0,0,0,0,0,0,0,0,0,0

этот,быть,pron,verb,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

тот,NA,pron,NA,1,0,0,0,0,0,0,0,0,0,0

гейм,NA,NA,NA,9,0,0,0,0,0,0,0,0,1,0

свой,френд,adj,NA,9,0,0,0,0,0,0,0,0,0,0

в,не,prep,neg,1,0,0,0,0,0,0,0,0,0,0

рукопашный,акробатика,adj,noun,2,0,1,0,0,0,0,0,0,0,0

решительный,с,adj,prep,1,0,0,0,0,0,0,0,0,0,0

учебный,закончиться,adj,verb,1,0,0,0,0,0,0,0,0,0,0

в,с,prep,prep,1,0,0,0,0,0,0,0,0,0,0

вести,с,verb,prep,1,0,0,0,0,0,0,0,0,0,0

решительный,разоблачая,adj,participle,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

идти,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

в,пойти,prep,verb,1,0,0,0,0,0,0,0,0,0,0

выиграть,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

кулачный,во,adj,prep,2,0,1,0,0,0,0,0,0,0,0

в,травмированный,prep,adj,1,0,0,0,0,0,0,0,0,0,0

последний,Форлан,adj,name,2,0,0,0,0,0,0,0,0,0,0

в,вступить,prep,verb,1,0,0,0,0,0,0,0,0,0,0

в,изголодавшийся,prep,adj,2,0,0,0,0,0,0,0,0,0,0

спайс,неоднократно,noun,adv,9,0,0,0,0,0,0,0,0,1,0

ноябрь,у,noun,prep,2,0,0,0,0,0,0,0,0,0,0

ведший,очень,participle,adv,2,0,0,0,0,0,0,0,0,0,0

скидка,европейский,noun,adj,2,0,0,0,0,0,0,0,0,0,0

в,против,prep,prep,2,0,0,0,0,0,0,0,0,0,0

тяжелый,со,adj,prep,2,0,0,0,0,0,0,0,0,0,0

в,идти,prep,verb,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,2,0,0,0,0,0,0,0,0,0,0

важный,с,adj,prep,2,0,0,0,0,0,0,0,0,0,0

в,молодежь,prep,noun,2,0,0,0,0,0,0,0,0,0,0

Он,с,pron,prep,2,0,0,0,0,0,0,0,0,0,0

на,с,prep,prep,2,0,0,0,0,0,0,0,0,0,0

в,из,prep,prep,2,0,0,0,0,0,0,0,0,0,0

Таким образом,за,adv,prep,2,0,0,0,0,0,0,0,0,0,0

NA,продолжаться,NA,verb,2,0,0,0,0,0,0,0,0,0,0

на,Шандыбин,prep,name,2,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

пропагандистский,как,adj,adv,1,0,0,0,0,0,0,0,0,0,0

NA,с,NA,prep,1,0,0,0,0,0,0,0,0,0,0

новый,начать,adj,verb,2,0,0,0,0,0,0,0,0,0,0

в,то,prep,conj,1,0,0,0,0,0,0,0,0,0,0

же,Джордж,neg,name,10,0,0,0,0,0,0,0,0,0,0

в,свой,prep,adj,2,0,0,0,0,0,0,0,0,0,0

би,и,NA,conj,9,0,0,0,0,0,0,0,0,0,0

в,танк,prep,noun,1,0,0,0,0,0,0,0,0,0,0

становиться,Льюс,verb,name,2,0,0,0,0,0,0,0,0,0,0

в,как,prep,adv,1,0,0,0,0,0,0,0,0,0,0

с,френд,prep,NA,9,0,0,0,0,0,0,0,0,0,0

в,рваться,prep,verb,1,0,0,0,0,0,0,0,0,0,0

смертный,с,adj,prep,1,1,0,0,0,0,0,0,0,0,0

ее,френд,pron,NA,9,0,0,0,0,0,0,0,0,0,0

пьянство,объявлять,noun,verb,2,0,0,0,0,0,0,0,0,0,0

секси,Робби,NA,name,9,0,0,0,0,0,0,0,0,0,0

в,со,prep,prep,1,0,0,0,0,0,0,0,0,0,0

NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0

они,Джордж,pron,name,10,0,0,0,0,0,0,0,0,0,0

вечный,покой,adj,noun,1,0,0,0,0,0,0,0,0,0,0

принять,NA,verb,NA,1,0,0,0,0,0,0,0,0,0,0

именно,NA,neg,NA,1,0,0,0,0,0,0,0,0,0,0

спайс,мы,NA,pron,9,0,0,0,0,0,0,0,0,1,0

первый,переправа,adj,noun,1,0,0,0,0,0,0,0,0,0,0

под,куранты,prep,noun,8,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

в,идти,prep,verb,1,0,0,0,0,0,0,0,0,0,0

грянуть,Полтавская,verb,name,1,0,0,0,0,0,0,0,0,0,0

в,и,prep,conj,1,0,0,0,0,0,0,0,0,0,0

в,с,prep,prep,1,0,0,0,0,0,0,0,0,0,0

в,тот,prep,pron,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

NA,запретить,NA,verb,2,0,0,0,0,0,0,0,0,0,0

на,выйти,prep,verb,1,0,0,0,0,0,0,0,0,0,0

свой,против,adj,prep,2,0,0,0,0,0,0,0,0,0,0

дать,со,verb,prep,1,0,0,0,0,0,0,0,0,0,0

смертный,стать,adj,verb,1,1,0,0,0,0,0,0,0,0,0

в,за,prep,prep,1,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

NA,Нереида,NA,name,2,0,0,0,0,0,0,0,0,0,0

в,NA,prep,NA,1,0,0,0,0,0,0,0,0,0,0

в,а,prep,conj,1,0,0,0,0,0,0,0,0,0,0

решительный,NA,adj,NA,1,0,0,0,0,0,0,0,0,0,0

сын,в,noun,prep,10,0,0,0,0,0,0,0,0,0,0

и,барабан,conj,noun,8,0,0,0,0,0,0,0,0,0,0

решительный,американский,adj,adj,1,0,0,0,0,0,0,0,0,0,0

в,молодой,prep,adj,1,0,0,0,0,0,0,0,0,0,0

под,куранты,prep,noun,8,0,0,0,0,0,0,0,0,0,0

первый,отражая,adj,participle,1,0,0,0,0,0,0,0,0,0,0

штыковой,я,adj,pron,1,0,0,0,0,0,0,0,0,0,0

в,помнить,prep,verb,1,0,0,0,0,0,0,0,0,0,0

барабанный,NA,adj,NA,8,0,0,0,0,0,0,0,1,0,0

в,комсомолец,prep,noun,1,0,0,0,0,0,0,0,0,0,0

слушать,часы,verb,noun,8,0,0,0,0,0,0,0,0,0,0

допустим,стекло,neg,noun,6,0,0,0,0,0,0,0,0,0,0

послышаться,часы,verb,noun,8,0,0,0,0,0,0,0,0,0,0

морской,старинный,adj,adj,1,1,0,0,0,0,0,0,0,0,0

ответный,NA,adj,NA,1,0,0,0,0,0,0,0,0,0,0

за,посуда,prep,noun,6,0,0,0,0,0,0,0,0,0,0

в,за,prep,prep,1,0,0,0,0,0,0,0,0,0,0

смертный,NA,adj,NA,1,1,0,0,0,0,0,0,0,0,0
